Requirement,Context (Keywords),Name of Doc,Sec/NotSec,Labeled by,Comments,Label,Labeled by,Comments,,,,,,
The system encrypts data over a direct connection between the web client and the server. Priority 1,Security Requirements,mashboot.pdf,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The system allows for the backup of the data system to local or remote non-volatile storage systems. Incremental backups should not create outages and full backups do not interfere with user interaction for more than 10 minutes. Priority 1,Security Requirements,mashboot.pdf,1,Кирилл,,Availability,Aydar,,,,,,,
The system is configurable to e-mail warnings about multiple failed login attempts from the same user.,Security Requirements,mashboot.pdf,1,Кирилл,,Confidentiality,Aydar,,,,,,,
These warnings are sent to the System Administrator.,Security Requirements,mashboot.pdf,1,Кирилл,,continue,Aydar,,,,,,,
Other security risks of this type are the responsibility of the System Administrator.,Security Requirements,mashboot.pdf,1,Кирилл,,Other,Aydar,,,,,,,
The system allows only valid users to log into the system.,Security Requirements,mashboot.pdf,1,Кирилл,,Confidentiality,Aydar,,,,,,,
A valid user is one which has not been disabled or deleted and exists on the system.,Security Requirements,mashboot.pdf,1,Кирилл,,Integrity,Aydar,,,,,,,
"To log onto the system, a user provides their valid username and password.",Security Requirements,mashboot.pdf,1,Кирилл,,Integrity,Aydar,,,,,,,
The system uses the configured authentication module.,Security Requirements,mashboot.pdf,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The authentication method is configurable by the System Administrator.,Security Requirements,mashboot.pdf,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The system allows the System Administrator to configure a timeout after which a user is automatically logged out of Mashbot.,Security Requirements,mashboot.pdf,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"PDFsam does not introduce any security level, since the data it manages is not critical.",Security Requirements,split merge.pdf,1,Кирилл,,Other,Aydar,,,,,,,
The users in the application are all equal so there is not the need of any identity management level.,Security Requirements,split merge.pdf,1,Кирилл,,Other,Aydar,,,,,,,
The system shall use secure sockets in all transactions that include any confidential customer information.,Security,e-store.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The system shall automatically log out all customers after a period of inactivity.,Security,e-store.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The system shall confirm all transactions with the customer’s web browser.,Security,e-store.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
The system shall not leave any cookies on the customer’s computer containing the user’s password.,Security,e-store.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The system shall not leave any cookies on the customer’s computer containing any of the user’s confidential information.,Security,e-store.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The customer’s web browser shall never display a customer’s password. It shall always be echoed with special characters representing typed characters.,Security,e-store.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The customer’s web browser shall never display a customer’s credit card number after retrieving from the database. It shall always be shown with just the last 4 digits of the credit card number.,Security,e-store.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The system’s back-end servers shall never display a customer’s password. The customer’s password may be reset but never shown.,Security,e-store.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The system’s back-end servers shall only be accessible to authenticated administrators.,Security,e-store.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The system’s back-end databases shall be encrypted.,Security,e-store.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
Controls access to data in the repository based on multiple permission levels. These permission levels determine the create/edit/read/delete privileges granted users.,Access,nlm.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"General Public Access: Allows restriction to access by the general public, based on licensing terms, time period (embargo periods), location (IP range restrictions), restricted workstation access as well as other possible legal restrictions.",Access,nlm.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"NIH Employee Access: Allows restriction to access by NIH employees, based on licensing terms, time period (embargo periods), location (IP range restrictions), restricted workstation access as well as other possible legal restrictions.",Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"NLM Staff Metadata Access: Provides an NLM Staff Level allowing access to staff to add or edit descriptive metadata (without changing the files themselves) for production and work related needs such as cataloging, indexing and modifying metadata.",Access,nlm.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"NLM Staff Maintenance Access: Provides a restricted NLM Staff Level, allowing specific NLM staff to work with the data itself: adding new files, checking the quality of digital files, manipulating images, editing technical (i.e. preservation) metadata, performing format conversions and migrations (e.g., from tiff to pdf, tiff to jpeg2000, etc.), and investigating problems with the system.",Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"NLM System Administration/Programming Access: Provides an NLM Administrative/Programming Level, ultimate rights to the system, required for its management, development, and for assigning appropriate rights to users.",Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"Access mechanisms must be sufficiently granular to allow the identification of individual users, in order to maintain audit logs of actions performed by users.",Access,nlm.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
"Access rights and conditions to materials and the directories/folders in which they are kept must provide for one or more of the following basic privileges, either alone or in combination: Create/Write access, Edit access, Read access, Delete access.",Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"Access rights may be associated with the metadata relating to an individual object, i.e. the object may be embargoed, with limited internal staff access being available to metadata.",Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
Both an object and its related metadata may be embargoed in terms of public access.,Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"The system will need to accommodate: computer interface access, defining access for a specific individual user or group of users the ability to assign different levels of access to different individuals and groups of users, either in a pre-defined role or in an ad hoc assignment",Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
Access rights and conditions of use will be held for each digital object and its related metadata.,Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
Access rights and conditions of use will be machine readable and actionable.,Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
Access conditions may be specific to a digital object.,Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
Access rights and conditions can be inherited from a parent object to any objects designated as a child object.,Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"Access rights and conditions can be assigned to an object on an individual basis, or on a group of identified objects at one time.",Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"Access status include the following conditions: Free access, where items are freely available via internal or external delivery mechanisms to all users, Restricted access, where access requires permission or satisfaction of some criteria; authorized user access is via an internal or a secure delivery mechanism; conditions can include: User type/status (general public, NIH staff, NLM staff, administrative staff) – access dependent on who the user is in relationship to NLM and NIH, Location – access restricted to specific IP location or physical location (specific workstation), Time period – access regulated by a designated embargo, Concurrent users – access regulated by the number of concurrent users allowed to access an object at a given time.",Access,nlm.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
Objects in the repository are accessible for computational use/machine accessibility such as data mining or automated document retrieval.,Access,nlm.doc,1,Кирилл,,Availability,Aydar,,,,,,,
Retains access to metadata for deleted or retracted content. (Access may restricted to NLM staff only).,Access,nlm.doc,1,Кирилл,,Availability,Aydar,,,,,,,
Allows metadata harvesting by other institutions following the OAI-PMH guidelines.,Access,nlm.doc,1,Кирилл,,Availability,Aydar,,,,,,,
Searches interface will be web-accessible and must be Section 508 compliant.,Access,nlm.doc,1,Кирилл,,Other,Aydar,,,,,,,
Display interface is web-accessible.,Access,nlm.doc,1,Кирилл,,Other,Aydar,Not sec,,,,,,
Keeps an audit trail of all actions.,Access,nlm.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
"The system have only three roles for coordinators, suppliers and customers only that make our system secure access online and these authentications will prevent and illegal access.",Software System Attributes,viper.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"User must comply with all local, state, and federal laws when using available resources.",Security Requirements,virtual ed.doc,1,Кирилл,,Other,Aydar,Not sec,,,,,,
"Any infringements or violations including but not limited to: unauthorized use, harassment, exploitation of any gaps in the portal, inflammatory/derogatory content, or defacing the system will result in the appropriate authorities being notified.",Security Requirements,virtual ed.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
The user is responsible for maintaining the user account.,Security Requirements,virtual ed.doc,1,Кирилл,,Other,Aydar,Not sec,,,,,,
Action must be taken by the user to prevent the user account from being compromised.,Security Requirements,virtual ed.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The user ID and the password should not be shared with anyone (students/staff/or anyone else).,Security Requirements,virtual ed.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
User passwords should be between 8 and 12 characters including letters and numbers but excluding spaces.,Security Requirements,virtual ed.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The user should periodically change the password; currently the user policy requires a mandatory password change every three months.,Security Requirements,virtual ed.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"The information within the system is regarded private, however in the event of an investigation by a legal authority, including by not limited to a subpoena or audit, the information will be released to the proper authorities for the purpose intended.",Security Requirements,virtual ed.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"All archived chats, e-mail, file share, and IM Messages are governed by the NJIT E-mail use policy. The user is encouraged to view the content at the NJIT homepage for detailed use of the policy and restrictions and limitations of the policy.",Security Requirements,virtual ed.doc,1,Кирилл,,Other,Aydar,,,,,,,
"In the event your account has been compromised, notify the NJIT help desk immediately. Refrain from using the infected account to communicate with anyone else.",Security Requirements,virtual ed.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The systems should adhere to the privacy policy set forth by NJIT and its administration and also state and federal guidelines.,Security Requirements,virtual ed.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
Grid technologies shall be utilized to provide secure and reliable communications to remote computing resources.,Overall Description,2004 - grid bgc,1,Айдар,,Confidentiality,Aydar,,,,,,,
"Not all Gatekeeper account holders will have access to the GridBGC system, Users must be approved by the GridBGC administrator(s) for access.",System Features,2004 - grid bgc,1,Айдар,,Integrity,Aydar,,,,,,,
Users must use the existing Gatekeeper tools to manage their passwords. ,System Features,2004 - grid bgc,1,Айдар,,Confidentiality,Aydar,,,,,,,
"NCAR Gatekeeper password policies will be governed by the NCAR Gatekeeper tools and policies, Enforcement of these policies and procedures will NOT be enforced through the GridBGC portal. ",System Features,2004 - grid bgc,1,Айдар,,Access control,Aydar,,,,,,,
The system shall require the user to enter their username and password to login to the system. ,System Features,2004 - grid bgc,1,Айдар,,Confidentiality,Aydar,,,,,,,
All login actions shall be protected by using secure data channels.,System Features,2004 - grid bgc,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall lock the account after 3 login attempts. This will require portal admin action to unlock the account. ,System Features,2004 - grid bgc,1,Айдар,,Confidentiality,Aydar,,,,,,,
Admin users will be authenticated against the portal database.,System Features,2004 - grid bgc,1,Айдар,,Confidentiality,Aydar,,,,,,,
Users will be authenticated against the NCAR Gatekeeper system. ,System Features,2004 - grid bgc,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall prevent the user from changing object/project values once that project has been used in a model run.,System Features,2004 - grid bgc,1,Айдар,,Integrity,Aydar,,,,,,,
The user can NOT change the projection type.,System Features,2004 - grid bgc,1,Айдар,,Integrity,Aydar,,,,,,,
Any time a template is used the user shall get their own full private copy of the data.,System Features,2004 - grid bgc,1,Айдар,,Integrity,Aydar,,,,,,,
The logon screen shall request user name and corresponding password.,Functional Requirements,2004 - rlcs,1,Айдар,,Confidentiality,Aydar,,,,,,,
The logon screen shall activate command control for the user if the user requests it and has authorization.,Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
"If command control is enabled by another user, and the logging in user is of higher security, the logging in user shall be requested to accept or deny command control.",Functional Requirements,2004 - rlcs,1,Айдар,,Confidentiality,Aydar,,,,,,,
"Based on the user’s security level, the control option shall provide the user with the appropriate level of control.",Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
"The RLCS software shall display information about active overrides: Which are active, and which devices have no currently active 'rules protection' against erroneous opening/closing.",Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
"The GUI shall provide an option for “Configuration” that is only accessible by the RLCS Software user with System Administrative privileges, It shall display and allow modification of all database tables with the exception of log tables.",Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
The configuration option shall allow a security level and password to be assigned to each defined staff member.,Functional Requirements,2004 - rlcs,1,Айдар,,Confidentiality,Aydar,,,,,,,
"User security levels shall be assigned at the command level, device, mode, workstation, and system function.",Functional Requirements,2004 - rlcs,1,Айдар,,Confidentiality,Aydar,,,,,,,
The option to configure device rules shall require an additional login password for that option.,Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
"The user should not be able to update log entries other than for their own login, for the current day and current shift.",Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
"Any operator or system command, which changes the state of field control devices, must be checked for integrity at multiple levels in the RLCS.",Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
"Each command (at the device sensor command, device command(macro), or system operational command (super macro) level) shall only be executed when a valid or good status exists for all device sensors, An authorized user shall be able to log in and issue device status requests and control commands from specified computers in the network, This is determined based on the user’s access level and authorized workstations.",Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
The process of overriding a device status shall not affect the status of any other device.,Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
"Each control command that is processed must be validated against the secured safety rules (stored in non-volatile memory) for the command, For example, if the operator issues a command to open the south gate while the north gate is open, the RLCS software will determine that opening the south gate cannot occur when the north gate is open, and will give an indication that the operation cannot be completed, The validation will occur at each control unit in the system that receives the command.",Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
The RLCS application software shall Update and read password and device rule data in encrypted format.,Functional Requirements,2004 - rlcs,1,Айдар,,Confidentiality,Aydar,,,,,,,
"The Personnel Security Level entity stores information about the five attributes used to restrict access to the RLCS: Command Level, Device, Mode, Workstation, and System Functions.",Functional Requirements,2004 - rlcs,1,Айдар,,Confidentiality,Aydar,Not sure,,,,,,
"The system shall will employ a one-way hash function as an aid to maintaining the integrity of the data and software in the field, The hash value returned by the function shall will be at least 128 bits in length, The MD5 algorithm is acceptable for this purpose.",Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
"The system shall will also, for each control unit in the system, produce a table of the returned ‘one-way hash function’ (Message Digest) values, of each of the ‘Control Unit Non-Volatile Memory’ items, The returned ‘Message Digest’ values shall will be stored as hexadecimal characters, The appropriate ‘Message Digest’ table shall will be maintained in non-volatile memory in each system control unit.",Functional Requirements,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
"For system login purposes, the hash function shall will also be used to encrypt user passwords.",Functional Requirements,2004 - rlcs,1,Айдар,,Confidentiality,Aydar,,,,,,,
"The RLCS shall incorporate a database to store, process, and retrieve all data necessary to secure the system from unauthorized use, The processing code at the FCU and DCU controllers shall be resident in non-volatile memory.",Design Constraints,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
"The RLCS shall incorporate a database to store, process, and retrieve all data necessary to secure the system from unauthorized use.",Design Constraints,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
The MD5 algorithm shall be used to secure application data and software in the controllers and the application server.,Design Constraints,2004 - rlcs,1,Айдар,,Integrity,Aydar,,,,,,,
The system shall allow all users to have different access levels to the projects.,Non-Functional Requirements,2004 - sprat,1,Айдар,,Integrity,Aydar,,,,,,,
The system shall allow secure storage of passwords in the database.,Non-Functional Requirements,2004 - sprat,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall allow users to securely log onto the system.,Non-Functional Requirements,2004 - sprat,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall provide a P3P dedicated section in the tool.,Functional Requirements,2004 - sprat,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall provide an EPAL dedicated section in the tool.,Functional Requirements,2004 - sprat,1,Айдар,,Other,Aydar,Dont know what is it,,,,,,
The system shall support association of privacy preferences with objects.,Functional Requirements,2004 - sprat,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall support deriving access control elements.,Functional Requirements,2004 - sprat,1,Айдар,,Access control,Aydar,,,,,,,
The system shall support access control specification using Ponder language.,Functional Requirements,2004 - sprat,1,Айдар,,Access control,Aydar,,,,,,,
The system shall provide partial support for translating Ponder policy into Alloy specifications for security verification.,Functional Requirements,2004 - sprat,1,Айдар,,Other,Aydar,What type of security,,,,,,
The system shall provide a way to extract goals data-usage information from a P3P privacy policy according to the P3P standard.,Functional Requirements,2004 - sprat,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall provide a way to extract goals data-usage information according toas per the user’s privacy preferences in accordance with the P3P standard.,Functional Requirements,2004 - sprat,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall provide a way to capture the mined goals information from the P3P policy into a database corresponding to a P3P privacy policy.,Functional Requirements,2004 - sprat,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall provide a way to capture the mined goals information from the user’s privacy preferences into a database corresponding to the user’s privacy preferences.,Functional Requirements,2004 - sprat,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall provide a way to evaluate the information extracted from the P3P privacy policy against the information extracted from the user’s privacy preferences.,Functional Requirements,2004 - sprat,1,Айдар,,Confidentiality,Aydar,,,,,,,
"The user shall be able to renumber the bridge key identifier and have the change made globally, This functionality shall be restricted depending on the user privilege.",Functional Requirements,2005 - pontis,1,Айдар,,Integrity,Aydar,,,,,,,
"Changes to calculated results such as Sufficiency Rating or NBI Appraisal Ratings will be prohibited except for secured, privileged users.",Functional Requirements,2005 - pontis,1,Айдар,,Integrity,Aydar,,,,,,,
"The ability of the user to update the calculated ratings and status in the database shall be a controlled privilege, Agencies may optionally exclude/prohibit direct edits to the calculated inspection results such as the NBI translator output, The agency shall therefore be able to enforce strict use of calculated translator results for calculating NBI condition ratings.",Functional Requirements,2005 - pontis,1,Айдар,,Integrity,Aydar,,,,,,,
"The system shall guarantee atomic database transactions to ensure maximum data integrity, using standard .NET transaction management capabilities.",Functional Requirements,2005 - pontis,1,Айдар,,Integrity,Aydar,,,,,,,
The system shall maximize multi-user concurrency and conflict resolution in the application using standard .NET session and transaction management capabilities.,Functional Requirements,2005 - pontis,1,Айдар,,Integrity,Aydar,,,,,,,
The administrator shall be able to assign application permissions to each user roles.,Functional Requirements,2005 - pontis,1,Айдар,,Confidentiality,Aydar,,,,,,,
The administrator shall be able to create bridge-level access filters.,Functional Requirements,2005 - pontis,1,Айдар,,Integrity,Aydar,,,,,,,
The system shall be capable of validating user name and password during log-in process.,Functional Requirements,2005 - pontis,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall be capable of authorizing access to Pontis functionalities depending on the user’s privileges during log-in process.,Functional Requirements,2005 - pontis,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall be capable of tracking login and logout activity.,Functional Requirements,2005 - pontis,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall be capable of supporting Windows Authentication mechanism for database access.,Functional Requirements,2005 - pontis,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall be capable of integrating authentication and permissions with BRIDGEWare.,Functional Requirements,2005 - pontis,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall be capable of operating with a single-sign-on authentication mechanism based on Active Directory Services or the LDAP standard.,Functional Requirements,2005 - pontis,1,Айдар,,Access control,Aydar,,,,,,,
The administrator shall be able to configure field-level security.,Functional Requirements,2005 - pontis,1,Айдар,,Other,Aydar,,,,,,,
The administrator shall be able to configure different levels of permission to control editing of checked-out bridges.,Functional Requirements,2005 - pontis,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system shall provide application administrators with a secured tool for clearing batch processing tables used by the system for deadlock/lockout resolution.,Functional Requirements,2005 - pontis,1,Айдар,,Other,Aydar,,,,,,,
"The system shall provide a fixed set of predefined, secured, administration reports to document users, user roles, application privileges, user login sessions, checked-out bridges, and other key information necessary to manage application operation.",Functional Requirements,2005 - pontis,1,Айдар,,Accountability,Aydar,,,,,,,
"It is assumed that authentication will utilize a single sign-on (SSO) approach and application security will be declaratively managed through database or directory entries, rather than hard-wired into the application. ",Functional Requirements,2005 - pontis,1,Айдар,,Access control,Aydar,,,,,,,
This security structure should be similar to the existing security approach in Pontis 4.x.,Functional Requirements,2005 - pontis,1,Айдар,,Other,Aydar,Not sure about label,,,,,,
"The application level security controls will be consistent with current Pontis 4.x procedures, except more comprehensive; no exceptional controls are required.",Functional Requirements,2005 - pontis,1,Айдар,,Other,Aydar,Not sure about label,,,,,,
"Access to all other configuration parameters, such as module access, will be restricted to Pontis super users or application administrators.",Functional Requirements,2005 - pontis,1,Айдар,,Integrity,Aydar,,,,,,,
"The Framework MUST guard against malicious scripts on remote websites from accessing its information, The Framework MUST guard against unintended corruption of information by the user himself. ",Security,2005 - znix,1,Айдар,,Integrity,Aydar,,,,,,,
"The system does not use or receive network connections and is used locally, This means that no network safety requirements exist, Overwriting an existing file on the file system has to be confirmed from the user to prevent accidental loss of data.",Safety Requirements,2005 - triangle,1,Айдар,,Integrity,Aydar,,,,,,,
No personal information is stored by the system so no specific security requirements need to be defined.,Security Requirements,2005 - triangle,1,Айдар,,Confidentiality,Aydar,Not sure,,,,,,
All users of the Backend System must be uniquely identified.,Security,2002 - evla back.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
"If a user cannot be identified, they will not be given access.",Security,2002 - evla back.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
"In order to monitor all past access to the system, all attempts to access the system should be logged.",Security,2002 - evla back.pdf,1,Вячеслав,,Accountability,Aydar,,,,,,,
Systems operations should be given unrestricted access to all aspects of the system and should have the authority to grant and revoke privileges on a per-user basis.,Security,2002 - evla back.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
All users of the system shall login using some form of unique identification.,Security,2002 - evla back.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
All login attempts shall be done in a secure manner.,Security,2002 - evla back.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
A system administrator shall have unrestricted access to all aspects of the system.,Security,2002 - evla back.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
Each user shall have a set of system access properties that defines the user’s privileges within the system.,Security,2002 - evla back.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
The administrator shall have the ability to create and add a new user to the system.,Security,2002 - evla back.pdf,1,Вячеслав,,Integrity,Aydar,,,,,,,
The administrator shall have the ability to remove a user from the system.,Security,2002 - evla back.pdf,1,Вячеслав,,Integrity,Aydar,,,,,,,
The administrator shall have the ability to edit a user’s system access properties.,Security,2002 - evla back.pdf,1,Вячеслав,,Integrity,Aydar,,,,,,,
The administrator shall have the ability to block all access to the system for all users or selectively by user.,Security,2002 - evla back.pdf,1,Вячеслав,,Integrity,Aydar,,,,,,,
All blocked users with active sessions shall automatically be logged off.,Security,2002 - evla back.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
A few authorized individuals may be allowed access to parts of the system that are usually considered restricted.,User characteristics,2002 - evla corr.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
*agentMom shall support the ability to encrypt unicast message.,Security,2003 - agentmom.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
*agentMom shall support the ability to decrypt unicast message.,Security,2003 - agentmom.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
agentMom shall allow an agent to decide whether or not to encrypt a message.,Security,2003 - agentmom.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
agentMom shall automatically decrypt encrypted message.,Security,2003 - agentmom.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
agentMom shall support the ability to encrypt multicast message.,Security,2003 - agentmom.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
agentMom shall support the ability to decrypt multicast message.,Security,2003 - agentmom.pdf,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
There shall be two levels of access; one for teachers and assistants and one for administrators.,Access Privileges,2005 - nenios.html,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
The teachers and assistants shall only be allowed to enter or edit child comments and child arrival or departure times.,Access Privileges,2005 - nenios.html,1,Вячеслав,,Integrity,Aydar,,,,,,,
The administrators shall be allowed to enter or edit all data.,Access Privileges,2005 - nenios.html,1,Вячеслав,,Integrity,Aydar,,,,,,,
Only the administrators shall be allowed to view or print reports.,Access Privileges,2005 - nenios.html,1,Вячеслав,,Integrity,Aydar,,,,,,,
Only the administrators shall be allowed to view or print invoices.,Access Privileges,2005 - nenios.html,1,Вячеслав,,Integrity,Aydar,,,,,,,
All employees shall be allowed to use the Daily Reminders.,Access Privileges,2005 - nenios.html,1,Вячеслав,,Other,Aydar,Not sec,,,,,,
Each user shall be required to log on with a unique user name and password before using the system.,Security,2005 - nenios.html,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
The password does not need to be unique.,Security,2005 - nenios.html,1,Вячеслав,,Access control,Aydar,Confidentiality,,,,,,
The user name shall be the first four charters of the employee's last name followed by the first three characters of their first name.,Security,2005 - nenios.html,1,Вячеслав,,Other,Aydar,Not sec,,,,,,
A password shall be assigned to each user.,Security,2005 - nenios.html,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
"The password shall contain 6 to 8 alphanumeric characters.
",Security,2005 - nenios.html,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
After three unsuccessful attempts to enter a password the user shall be locked out of the system until their password is reset.,Security,2005 - nenios.html,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
A new password shall be assigned if a user forgets.,Security,2005 - nenios.html,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
If there is no activity for 10 minutes the user shall be logged off of the system.,Security,2005 - nenios.html,1,Вячеслав,,Confidentiality,Aydar,,,,,,,
The product will be as secure as the web browser that will run the product.,Quality Attributes,2001 - space fractions.pdf,1,Вячеслав,,Other,Aydar,Cannot assign a proper type,,,,,,
"Ability for the user to share inbox, calendar, and files with users, given permission.",Basic Functional Requirements,email.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
Ability for the user to delegate their permissions to another user.,Basic Functional Requirements,email.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
"Ability for the agency admin to meet Federal regulations for retention (i.e. Sarbanes Oxley, Gramm-Leach-Bliley Act (GLB), HIPAA, etc.)",Basic Functional Requirements,email.pdf,1,Василий,,Other,Aydar,,,,,,,
Ability for the data center admin to recover at the file level.,Basic Functional Requirements,email.pdf,1,Василий,,Availability,Aydar,,,,,,,
Ability for the data center admin to recover all messages.,Basic Functional Requirements,email.pdf,1,Василий,,Availability,Aydar,,,,,,,
Ability for the data center admin to recover a specific e-mail message.,Basic Functional Requirements,email.pdf,1,Василий,,Availability,Aydar,,,,,,,
Ability for the data center admin to recover by mailbox.,Basic Functional Requirements,email.pdf,1,Василий,,Availability,Aydar,,,,,,,
Ability for the data center admin to recover by time.,Basic Functional Requirements,email.pdf,1,Василий,,Availability,Aydar,,,,,,,
Ability for the data center admin to maintain backup and restore event logs.,Basic Functional Requirements,email.pdf,1,Василий,,Accountability,Aydar,,,,,,,
Ability for the data center admin to restore previous backup without service interruption.,Basic Functional Requirements,email.pdf,1,Василий,,Availability,Aydar,,,,,,,
Ability for the data center admin to provide pre-emptive e-mail virus protection (scanning prior to delivery at the mail server).,Basic Functional Requirements,email.pdf,1,Василий,,Integrity,Aydar,,,,,,,
Ability for the data center admin to provide pre-emptive e-mail content filtering.,Basic Functional Requirements,email.pdf,1,Василий,,Other,Aydar,,,,,,,
Ability for the data center admin to whitelist/blacklist senders by domain or IP address.,Basic Functional Requirements,email.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
Ability for the data center admin to block or allow e-mail based on multiple message attributes.,Basic Functional Requirements,email.pdf,1,Василий,,Access control,Aydar,,,,,,,
